Division,Group,Field,Description
Health Sciences,Allied health and rehabilitation science,420108,Prosthetics and orthotics
Health Sciences,Allied health and rehabilitation science,420109,Rehabilitation
Health Sciences,Allied health and rehabilitation science,420110,Speech pathology
Health Sciences,Allied health and rehabilitation science,420199,Allied health and rehabilitation science not elsewhere classified
Health Sciences,Epidemiology,420201,Behavioural epidemiology
Health Sciences,Epidemiology,420202,Disease surveillance
Health Sciences,Epidemiology,420203,Environmental epidemiology
Health Sciences,Epidemiology,420204,Epidemiological methods
Health Sciences,Epidemiology,420205,Epidemiological modelling
Health Sciences,Epidemiology,420206,Forensic epidemiology
Health Sciences,Epidemiology,420207,Major global burdens of disease
Health Sciences,Epidemiology,420208,Nutritional epidemiology
Health Sciences,Epidemiology,420209,Occupational epidemiology
Health Sciences,Epidemiology,420210,Social epidemiology
Health Sciences,Epidemiology,420299,Epidemiology not elsewhere classified
Health Sciences,Health services and systems,420301,Aged health care
Health Sciences,Health services and systems,420302,Digital health
Health Sciences,Health services and systems,420303,Family care
Health Sciences,Health services and systems,420304,General practice
Health Sciences,Health services and systems,420305,Health and community services
Health Sciences,Health services and systems,420306,Health care administration
Health Sciences,Health services and systems,420307,Health counselling
Health Sciences,Health services and systems,420308,Health informatics and information systems
Health Sciences,Health services and systems,420309,Health management
Health Sciences,Health services and systems,420310,Health surveillance
Health Sciences,Health services and systems,420311,Health systems
Health Sciences,Health services and systems,420312,Implementation science and evaluation
Health Sciences,Health services and systems,420313,Mental health services
Health Sciences,Health services and systems,420314,Multimorbidity
Health Sciences,Health services and systems,420315,One health
Health Sciences,Health services and systems,420316,Palliative care
Health Sciences,Health services and systems,420317,Patient safety
Health Sciences,Health services and systems,420318,People with disability
Health Sciences,Health services and systems,420319,Primary health care
Health Sciences,Health services and systems,420320,Residential client care
Health Sciences,Health services and systems,420321,Rural and remote health services
Health Sciences,Health services and systems,420399,Health services and systems not elsewhere classified
Health Sciences,Midwifery,420401,Clinical midwifery
Health Sciences,Midwifery,420402,Models of care and place of birth
Health Sciences,Midwifery,420403,Psychosocial aspects of childbirth and perinatal mental health
Health Sciences,Midwifery,420499,Midwifery not elsewhere classified
Health Sciences,Nursing,420501,Acute care
Health Sciences,Nursing,420502,Aged care nursing
Health Sciences,Nursing,420503,Community and primary care
Health Sciences,Nursing,420504,Mental health nursing
Health Sciences,Nursing,420505,Nursing workforce
Health Sciences,Nursing,420506,Sub-acute care
Health Sciences,Nursing,420599,Nursing not elsewhere classified
Health Sciences,Public health,420601,Community child health
Health Sciences,Public health,420602,Health equity
Health Sciences,Public health,420603,Health promotion
Health Sciences,Public health,420604,Injury prevention
Health Sciences,Public health,420605,Preventative health care
Health Sciences,Public health,420606,Social determinants of health
Health Sciences,Public health,420699,Public health not elsewhere classified
Health Sciences,Sports science and exercise,420701,Biomechanics
Health Sciences,Sports science and exercise,420702,Exercise physiology
Health Sciences,Sports science and exercise,420703,Motor control
Health Sciences,Sports science and exercise,420799,Sports science and exercise not elsewhere classified
Health Sciences,"Traditional, complementary and integrative medicine",420801,Chiropractic
Health Sciences,"Traditional, complementary and integrative medicine",420802,Naturopathy
Health Sciences,"Traditional, complementary and integrative medicine",420803,Traditional Chinese medicine and treatments
Health Sciences,"Traditional, complementary and integrative medicine",420899,"Traditional, complementary and integrative medicine not elsewhere classified"
Health Sciences,Other health sciences,429999,Other health sciences not elsewhere classified
"History, Heritage and Archaeology",Archaeology,430101,Archaeological science
"History, Heritage and Archaeology",Archaeology,430102,"Archaeology of Asia, Africa and the Americas"
"History, Heritage and Archaeology",Archaeology,430103,Archaeology of Australia (excl. Aboriginal and Torres Strait Islander)
"History, Heritage and Archaeology",Archaeology,430104,"Archaeology of Europe, the Mediterranean and the Levant"
"History, Heritage and Archaeology",Archaeology,430105,Archaeology of New Zealand (excl. Māori)
"History, Heritage and Archaeology",Archaeology,430106,Digital archaeology
"History, Heritage and Archaeology",Archaeology,430107,Historical archaeology (incl. industrial archaeology)
"History, Heritage and Archaeology",Archaeology,430108,Maritime archaeology
"History, Heritage and Archaeology",Archaeology,430199,Archaeology not elsewhere classified
"History, Heritage and Archaeology","Heritage, archive and museum studies",430201,"Archival, repository and related studies"
"History, Heritage and Archaeology","Heritage, archive and museum studies",430202,"Critical heritage, museum and archive studies"
"History, Heritage and Archaeology","Heritage, archive and museum studies",430203,Cultural heritage management (incl. world heritage)
"History, Heritage and Archaeology","Heritage, archive and museum studies",430204,Digital heritage
"History, Heritage and Archaeology","Heritage, archive and museum studies",430205,Heritage and cultural conservation
"History, Heritage and Archaeology","Heritage, archive and museum studies",430206,Heritage collections and interpretations
"History, Heritage and Archaeology","Heritage, archive and museum studies",430207,"Heritage tourism, visitor and audience studies"
"History, Heritage and Archaeology","Heritage, archive and museum studies",430208,Intangible heritage
"History, Heritage and Archaeology","Heritage, archive and museum studies",430209,Materials conservation
"History, Heritage and Archaeology","Heritage, archive and museum studies",430299,"Heritage, archive and museum studies not elsewhere classified"
"History, Heritage and Archaeology",Historical studies,430301,Asian history
"History, Heritage and Archaeology",Historical studies,430302,Australian history
